id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated
106;QPEN002;KEU2QPEN002106;KATBR002;Pengharum Ruangan;Stela Pocket;2;Karisma.png;;;KEU02;14/10/2024;KEU02
107;QPIT001;KEU2QPIT001107;KATBR002;Pita Printer;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
108;QPLO001;KEU2QPLO001108;KATBR002;Plong;Target Durable Punch;2;Karisma.png;;;KEU02;14/10/2024;KEU02
109;QPOL001;KEU2QPOL001109;KATBR002;Polki;500 ml;1;Karisma.png;;;KEU02;14/10/2024;KEU02
110;QPOS001;KEU2QPOS001110;KATBR002;Poster ;ODP ukuran 0.33 x 0.5 Meter;20;Karisma.png;;;KEU02;14/10/2024;KEU02
111;QPOT002;KEU2QPOT002111;KATBR001;Pot Cantol;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
112;QPOT001;KEU2QPOT001112;KATBR001;Pot Gantung;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
113;QRAM001;KEU2QRAM001113;KATBR001;RAM PC 8 Gb;SAMSUNG 8 Gb (DDR4);2;Karisma.png;;;KEU02;14/10/2024;KEU02
114;QREF001;KEU2QREF001114;KATBR001;Refil Spidol Boardmarker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02
115;QREF002;KEU2QREF002115;KATBR001;Refil Spidol Marker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02
116;QREF003;KEU2QREF003116;KATBR001;Refil Spidol Marker;Merah;2;Karisma.png;;;KEU02;14/10/2024;KEU02
117;QREM001;KEU2QREM001117;KATBR001;Remover;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
118;QROY001;KEU2QROY001118;KATBR002;Royco;;11;Karisma.png;;;KEU02;14/10/2024;KEU02
119;QSAR002;KEU2QSAR002119;KATBR001;Sarung Tangan;Latex Hitam;11;Karisma.png;;;KEU02;14/10/2024;KEU02
120;QSAR001;KEU2QSAR001120;KATBR001;Sarung Tangan;Proyek;2;Karisma.png;;;KEU02;14/10/2024;KEU02
121;QSPI002;KEU2QSPI002121;KATBR001;Spidol Board Marker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02
122;QSPI001;KEU2QSPI001122;KATBR001;Spidol Board Marker;Biru;2;Karisma.png;;;KEU02;14/10/2024;KEU02
